date,accX,accY,accZ,gyrX,gyrY,gyrZ,p2p,posture,postureLbl
"2017-11-02 13:56:32 +0000",10280,-1392,12724,5,23,16,0,0,SitNok
"2017-11-02 13:56:32 +0000",10528,-1020,12972,45,26,21,0,0,SitNok
"2017-11-02 13:56:33 +0000",10396,-1100,13016,27,28,8,0,0,SitNok
"2017-11-02 13:56:33 +0000",10428,-1092,12884,12,31,246,0,0,SitNok
"2017-11-02 13:56:33 +0000",10220,-676,13124,20,41,248,0,0,SitNok
"2017-11-02 13:56:33 +0000",10436,-1088,12892,-7,30,222,0,0,SitNok
"2017-11-02 13:56:33 +0000",10408,-1028,13020,-5,24,238,0,0,SitNok
"2017-11-02 13:56:33 +0000",10492,-1008,12888,39,10,32,0,0,SitNok
"2017-11-02 13:56:33 +0000",10452,-740,13104,31,19,35,0,0,SitNok
"2017-11-02 13:56:33 +0000",10388,-828,13068,14,22,10,0,0,SitNok
"2017-11-02 13:56:33 +0000",10300,-1004,12936,24,22,8,0,0,SitNok
"2017-11-02 13:56:33 +0000",10212,-732,13080,-18,-13,19,0,0,SitNok
"2017-11-02 13:56:34 +0000",10696,-816,12964,20,-7,44,0,0,SitNok
"2017-11-02 13:56:34 +0000",10428,-1100,13020,-3,14,253,0,0,SitNok
"2017-11-02 13:56:34 +0000",10384,-1084,13052,9,19,25,0,0,SitNok
"2017-11-02 13:56:34 +0000",10284,-1072,13016,50,-4,105,0,0,SitNok
"2017-11-02 13:56:34 +0000",10332,-1096,12792,22,-81,59,0,0,SitNok
"2017-11-02 13:56:34 +0000",11064,-1292,12456,-29,-47,250,0,0,SitNok
"2017-11-02 13:56:34 +0000",10672,-1384,12488,0,12,30,0,0,SitNok
"2017-11-02 13:56:34 +0000",10688,-936,12764,5,46,24,0,0,SitNok
"2017-11-02 13:56:34 +0000",10372,-1000,12808,1,69,247,0,0,SitNok
"2017-11-02 13:56:35 +0000",10160,-696,13220,-10,98,242,0,0,SitNok
"2017-11-02 13:56:35 +0000",9852,-624,13772,-41,5,16,0,0,SitNok
"2017-11-02 13:56:35 +0000",11008,-1176,13360,-89,-178,89,0,0,SitNok
"2017-11-02 13:56:35 +0000",12248,-1696,11288,-88,-290,210,0,0,SitNok
"2017-11-02 13:56:35 +0000",12780,-2824,10056,-92,-225,126,0,0,SitNok
"2017-11-02 13:56:35 +0000",12132,-2116,10660,-22,-64,17,0,0,SitNok
"2017-11-02 13:56:35 +0000",10620,-4060,12388,-331,59,99,0,0,SitNok
"2017-11-02 13:56:35 +0000",8804,-5972,12796,-331,92,135,0,0,SitNok
