date,accX,accY,accZ,gyrX,gyrY,gyrZ,p2p,posture,postureLbl
"2017-11-02 13:25:13 +0000",16568,-1152,-864,17,35,10,0,0,SitOk
"2017-11-02 13:25:13 +0000",16472,-1096,-912,23,22,25,0,0,SitOk
"2017-11-02 13:25:13 +0000",16480,-1144,-560,29,29,23,0,0,SitOk
"2017-11-02 13:25:13 +0000",16576,-1196,-664,28,-11,6,0,0,SitOk
"2017-11-02 13:25:13 +0000",16540,-1200,-936,32,14,17,0,0,SitOk
"2017-11-02 13:25:13 +0000",16600,-1160,-844,30,29,28,0,0,SitOk
"2017-11-02 13:25:14 +0000",16504,-1232,-824,25,20,21,0,0,SitOk
"2017-11-02 13:25:14 +0000",16544,-1240,-844,19,33,19,0,0,SitOk
"2017-11-02 13:25:14 +0000",16608,-1256,-808,29,33,21,0,0,SitOk
"2017-11-02 13:25:14 +0000",16584,-1140,-588,25,53,15,0,0,SitOk
"2017-11-02 13:25:14 +0000",16448,-1128,-932,4,29,22,0,0,SitOk
"2017-11-02 13:25:14 +0000",16576,-1220,-860,34,42,244,0,0,SitOk
"2017-11-02 13:25:14 +0000",16444,-960,-384,-27,19,226,0,0,SitOk
"2017-11-02 13:25:14 +0000",16588,-1280,-436,-64,35,233,0,0,SitOk
"2017-11-02 13:25:14 +0000",16596,-1004,-752,27,67,47,0,0,SitOk
"2017-11-02 13:25:14 +0000",16604,-1136,-244,54,58,51,0,0,SitOk
"2017-11-02 13:25:15 +0000",16656,-1112,-364,58,12,21,0,0,SitOk
"2017-11-02 13:25:15 +0000",16516,-1336,-420,29,16,11,0,0,SitOk
"2017-11-02 13:25:15 +0000",16636,-1068,-604,16,8,21,0,0,SitOk
"2017-11-02 13:25:15 +0000",16744,-1232,-468,17,10,20,0,0,SitOk
"2017-11-02 13:25:15 +0000",16660,-1184,-468,8,14,12,0,0,SitOk
"2017-11-02 13:25:15 +0000",16576,-1180,-636,16,21,15,0,0,SitOk
"2017-11-02 13:25:15 +0000",16676,-1184,-512,30,16,19,0,0,SitOk
"2017-11-02 13:25:15 +0000",16636,-1244,-536,23,22,22,0,0,SitOk
"2017-11-02 13:25:15 +0000",16580,-1084,-468,-7,32,9,0,0,SitOk
"2017-11-02 13:25:15 +0000",16696,-1236,-312,-6,62,8,0,0,SitOk
"2017-11-02 13:25:16 +0000",16544,-1116,-736,28,40,29,0,0,SitOk
"2017-11-02 13:25:16 +0000",16356,-1188,-116,18,36,29,0,0,SitOk
"2017-11-02 13:25:16 +0000",16120,-1140,340,52,-96,239,0,0,SitOk
"2017-11-02 13:25:16 +0000",17248,-1280,-500,-5,-42,254,0,0,SitOk
"2017-11-02 13:25:16 +0000",15980,-1156,-720,-1,118,205,0,0,SitOk
"2017-11-02 13:25:16 +0000",16440,-948,-612,36,-4,233,0,0,SitOk
"2017-11-02 13:25:16 +0000",16992,-1060,-968,15,108,233,0,0,SitOk
"2017-11-02 13:25:16 +0000",16868,-972,-216,49,129,219,0,0,SitOk
"2017-11-02 13:25:16 +0000",16200,-840,-304,52,100,206,0,0,SitOk
"2017-11-02 13:25:17 +0000",16880,-644,36,70,112,216,0,0,SitOk
"2017-11-02 13:25:17 +0000",16960,-504,336,49,83,243,0,0,SitOk
"2017-11-02 13:25:17 +0000",16504,-384,412,11,99,235,0,0,SitOk
"2017-11-02 13:25:17 +0000",16692,-444,356,-21,165,239,0,0,SitOk
"2017-11-02 13:25:17 +0000",16532,-556,704,16,166,39,0,0,SitOk
"2017-11-02 13:25:17 +0000",16180,-476,1020,88,148,91,0,0,SitOk
"2017-11-02 13:25:17 +0000",16948,-960,1628,141,159,97,0,0,SitOk
"2017-11-02 13:25:17 +0000",17056,-884,1572,131,206,48,0,0,SitOk
"2017-11-02 13:25:17 +0000",16712,-548,1692,79,298,236,0,0,SitOk
"2017-11-02 13:25:17 +0000",15764,-232,2552,-4,313,153,0,0,SitOk
"2017-11-02 13:25:18 +0000",15452,-816,3484,-34,164,98,0,0,SitOk
"2017-11-02 13:25:18 +0000",16888,288,3736,-106,77,47,0,0,SitOk
"2017-11-02 13:25:18 +0000",16244,272,3124,-255,127,109,0,0,SitOk
"2017-11-02 13:25:18 +0000",15984,-36,3344,-141,53,131,0,0,SitOk
"2017-11-02 13:25:18 +0000",16424,-392,3204,76,40,178,0,0,SitOk
"2017-11-02 13:25:18 +0000",16500,76,3492,187,30,116,0,0,SitOk
"2017-11-02 13:25:18 +0000",15888,344,3556,116,0,49,0,0,SitOk
"2017-11-02 13:25:18 +0000",16636,32,2952,-98,-8,33,0,0,SitOk
"2017-11-02 13:25:18 +0000",16188,-1096,2908,30,7,115,0,0,SitOk
"2017-11-02 13:25:19 +0000",16352,-612,3220,76,-87,58,0,0,SitOk
"2017-11-02 13:25:19 +0000",16152,-696,2768,18,7,71,0,0,SitOk
"2017-11-02 13:25:19 +0000",16164,-944,3296,28,23,94,0,0,SitOk
"2017-11-02 13:25:19 +0000",16120,-1640,2912,-33,-115,53,0,0,SitOk
"2017-11-02 13:25:19 +0000",16252,-1324,2576,51,-124,246,0,0,SitOk
"2017-11-02 13:25:19 +0000",16756,-1280,2884,105,1,43,0,0,SitOk
"2017-11-02 13:25:19 +0000",16376,-1024,2872,199,-56,113,0,0,SitOk
"2017-11-02 13:25:19 +0000",16496,-972,2840,96,-22,72,0,0,SitOk
"2017-11-02 13:25:19 +0000",16516,-712,2020,-151,-58,236,0,0,SitOk
"2017-11-02 13:25:19 +0000",16872,-1452,1112,-148,7,241,0,0,SitOk
"2017-11-02 13:25:20 +0000",15668,-1284,2020,-5,150,11,0,0,SitOk
"2017-11-02 13:25:20 +0000",15936,-1264,2436,169,-8,73,0,0,SitOk
"2017-11-02 13:25:20 +0000",16484,-340,2960,63,-192,80,0,0,SitOk
"2017-11-02 13:25:20 +0000",17200,-1412,2276,49,50,3,0,0,SitOk
"2017-11-02 13:25:20 +0000",16420,-1556,1924,42,-76,90,0,0,SitOk
"2017-11-02 13:25:20 +0000",16632,-1568,1792,-8,-7,105,0,0,SitOk
"2017-11-02 13:25:20 +0000",16604,-1660,1552,-60,-37,36,0,0,SitOk
"2017-11-02 13:25:20 +0000",16456,-1768,1236,11,-5,28,0,0,SitOk
"2017-11-02 13:25:20 +0000",16556,-1504,1428,18,46,15,0,0,SitOk
"2017-11-02 13:25:20 +0000",16500,-1656,1644,43,35,6,0,0,SitOk
"2017-11-02 13:25:21 +0000",16408,-1580,1888,37,51,4,0,0,SitOk
