date,accX,accY,accZ,gyrX,gyrY,gyrZ,phi,theta,psi,p2p,posture,postureLbl
"2017-11-13 18:47:56 +0000",16428,-1316,1236,-96,45,-33,3237,386,-365,0,0,SitOk
"2017-11-13 18:47:57 +0000",16392,-948,1580,41,-5,72,2884,362,-62,0,0,SitOk
"2017-11-13 18:47:57 +0000",16012,-1512,1660,-63,39,-60,2955,350,-140,0,0,SitOk
"2017-11-13 18:47:57 +0000",16660,-1960,300,-129,-62,-9,2437,476,148,0,0,SitOk
"2017-11-13 18:47:57 +0000",16648,-1024,664,110,41,29,1574,490,1022,0,0,SitOk
"2017-11-13 18:47:57 +0000",15988,-908,1484,-20,26,0,2744,450,-84,0,0,SitOk
"2017-11-13 18:47:57 +0000",17016,-1548,1364,64,18,82,2410,410,297,0,0,SitOk
"2017-11-13 18:47:58 +0000",16532,-1556,1304,9,88,89,2217,283,586,0,0,SitOk
"2017-11-13 18:47:58 +0000",16388,-1652,1460,68,71,-32,2647,186,196,0,0,SitOk
"2017-11-13 18:47:58 +0000",16452,-1712,1472,99,88,-42,3351,189,-380,0,0,SitOk
"2017-11-13 18:47:58 +0000",16384,-984,1900,99,16,6,4225,189,-1085,0,0,SitOk
"2017-11-13 18:47:58 +0000",16372,-828,1896,64,22,61,4208,142,-902,0,0,SitOk
"2017-11-13 18:47:58 +0000",16592,-1752,1600,-57,18,27,3964,143,-654,0,0,SitOk
"2017-11-13 18:47:59 +0000",16500,-1628,1772,-18,1,53,3627,122,-384,0,0,SitOk
"2017-11-13 18:47:59 +0000",16408,-1628,1712,6,22,14,3278,90,-40,0,0,SitOk
"2017-11-13 18:47:59 +0000",16360,-1716,1632,12,4,30,3156,72,111,0,0,SitOk
"2017-11-13 18:47:59 +0000",16588,-1348,1780,-2,5,-2,2983,99,305,0,0,SitOk
"2017-11-13 18:47:59 +0000",16592,-1648,1548,27,12,20,2982,110,362,0,0,SitOk
"2017-11-13 18:47:59 +0000",16368,-1908,1400,11,15,6,2826,113,532,0,0,SitOk
"2017-11-13 18:48:00 +0000",16476,-1648,1380,0,53,-13,3007,142,401,0,0,SitOk
"2017-11-13 18:48:00 +0000",16648,-1196,1732,64,9,-49,3598,184,-163,0,0,SitOk
"2017-11-13 18:48:00 +0000",16432,-1228,1728,11,30,3,4009,215,-520,0,0,SitOk
"2017-11-13 18:48:00 +0000",16480,-1084,1668,31,23,8,4172,236,-631,0,0,SitOk
"2017-11-13 18:48:00 +0000",16416,-1292,1764,33,27,13,4266,220,-687,0,0,SitOk
"2017-11-13 18:48:00 +0000",16536,-1196,1704,41,31,22,4252,214,-599,0,0,SitOk
"2017-11-13 18:48:01 +0000",16508,-1288,1712,18,33,18,4350,177,-645,0,0,SitOk
"2017-11-13 18:48:01 +0000",16500,-1300,1752,31,51,18,4413,140,-657,0,0,SitOk
"2017-11-13 18:48:01 +0000",16420,-1324,1864,26,30,20,4460,100,-652,0,0,SitOk
"2017-11-13 18:48:01 +0000",16484,-1140,1708,31,34,25,4500,86,-630,0,0,SitOk
"2017-11-13 18:48:01 +0000",16452,-1580,1708,19,45,-41,4662,91,-715,0,0,SitOk
"2017-11-13 18:48:01 +0000",16612,-1272,1928,33,11,26,4843,87,-849,0,0,SitOk
"2017-11-13 18:48:02 +0000",16432,-1032,2060,26,6,22,4916,86,-865,0,0,SitOk
"2017-11-13 18:48:02 +0000",16516,-1376,1932,-8,14,8,4777,104,-703,0,0,SitOk
"2017-11-13 18:48:02 +0000",16472,-1244,1916,22,13,11,4811,107,-731,0,0,SitOk
"2017-11-13 18:48:02 +0000",16464,-1164,1832,27,22,24,4743,94,-613,0,0,SitOk
"2017-11-13 18:48:02 +0000",16296,-1208,2100,29,73,77,4677,87,-505,0,0,SitOk
"2017-11-13 18:48:02 +0000",16892,-1816,1884,-42,-19,-65,4402,83,-257,0,0,SitOk
"2017-11-13 18:48:03 +0000",16320,-1308,2128,49,-29,17,4571,68,-379,0,0,SitOk
"2017-11-13 18:48:03 +0000",16540,-1000,1176,8,66,-14,4765,174,-564,0,0,SitOk
"2017-11-13 18:48:03 +0000",16432,-988,2080,10,-19,-15,4899,159,-632,0,0,SitOk
"2017-11-13 18:48:03 +0000",16368,-1084,1984,25,11,23,5016,160,-717,0,0,SitOk
"2017-11-13 18:48:03 +0000",16584,-920,1820,23,0,34,4894,203,-572,0,0,SitOk
"2017-11-13 18:48:03 +0000",16672,-1448,1388,-95,-14,56,4088,206,235,0,0,SitOk
"2017-11-13 18:48:04 +0000",16592,-1476,1444,49,7,22,3716,205,537,0,0,SitOk
"2017-11-13 18:48:04 +0000",16488,-1436,1680,11,11,7,3671,211,648,0,0,SitOk
"2017-11-13 18:48:04 +0000",16480,-1576,1644,-16,11,1,3619,232,712,0,0,SitOk
"2017-11-13 18:48:04 +0000",16572,-1564,1584,4,20,5,3636,240,705,0,0,SitOk
"2017-11-13 18:48:04 +0000",16496,-1684,1488,-9,29,22,3551,221,793,0,0,SitOk
"2017-11-13 18:48:04 +0000",16584,-1132,1576,0,12,17,3518,203,897,0,0,SitOk
"2017-11-13 18:48:05 +0000",16472,-1416,1640,36,-14,4,3306,228,1158,0,0,SitOk
"2017-11-13 18:48:05 +0000",16448,-1688,1240,-70,23,42,2873,214,1523,0,0,SitOk
"2017-11-13 18:48:05 +0000",16568,-1348,1440,21,-3,-54,2932,254,1450,0,0,SitOk
"2017-11-13 18:48:05 +0000",16816,-832,1140,19,-11,-12,3245,453,1262,0,0,SitOk
"2017-11-13 18:48:05 +0000",16284,-1000,1252,73,15,39,3071,408,1467,0,0,SitOk
"2017-11-13 18:48:05 +0000",16740,-1212,1260,19,22,17,2909,407,1674,0,0,SitOk
"2017-11-13 18:48:06 +0000",16688,-1320,1136,94,-45,53,2536,401,2162,0,0,SitOk
"2017-11-13 18:48:06 +0000",16788,-1696,1044,33,108,112,2174,339,2632,0,0,SitOk
"2017-11-13 18:48:06 +0000",16596,-2100,1428,9,156,-80,2890,137,1851,0,0,SitOk
"2017-11-13 18:48:06 +0000",16440,-1756,1972,215,-26,86,3282,69,1713,0,0,SitOk
"2017-11-13 18:48:06 +0000",16920,-1072,1244,-21,-200,-38,2245,207,2996,0,0,SitOk
"2017-11-13 18:48:06 +0000",16548,-1816,952,-51,-70,16,917,448,4197,0,0,SitOk
"2017-11-13 18:48:06 +0000",16580,-1236,636,-77,39,75,116,462,4947,0,0,SitOk
"2017-11-13 18:48:07 +0000",16516,-2212,784,-23,-56,-44,-125,453,5016,0,0,SitOk
"2017-11-13 18:48:07 +0000",16428,-856,468,215,-12,-15,-276,639,5492,0,0,SitOk
"2017-11-13 18:48:07 +0000",16580,-1624,300,-183,-105,11,-1398,758,6557,0,0,SitOk
"2017-11-13 18:48:07 +0000",16896,-1664,232,28,25,33,-3160,760,8152,0,0,SitOk
"2017-11-13 18:48:07 +0000",16404,-1204,40,139,137,-49,-1641,769,6828,0,0,SitOk
"2017-11-13 18:48:07 +0000",16600,-1224,144,74,-19,20,-910,801,6294,0,0,SitOk
"2017-11-13 18:48:08 +0000",16644,-1608,56,69,-60,77,-2039,756,7529,0,0,SitOk
"2017-11-13 18:48:08 +0000",16696,-1380,24,88,34,22,-2579,716,8231,0,0,SitOk
"2017-11-13 18:48:08 +0000",16628,-1172,152,41,48,-53,-1807,778,7616,0,0,SitOk
"2017-11-13 18:48:08 +0000",16516,-1724,56,-33,78,78,-1340,751,7113,0,0,SitOk
"2017-11-13 18:48:08 +0000",16540,-1580,300,61,42,64,-1263,587,7074,0,0,SitOk
"2017-11-13 18:48:08 +0000",16468,-1532,524,8,20,22,-1227,547,7105,0,0,SitOk
"2017-11-13 18:48:09 +0000",16568,-1500,344,-3,11,25,-1347,551,7217,0,0,SitOk
"2017-11-13 18:48:09 +0000",16596,-1836,352,-48,52,0,-1324,542,7130,0,0,SitOk
"2017-11-13 18:48:09 +0000",16480,-1692,536,-2,63,2,-931,521,6689,0,0,SitOk
"2017-11-13 18:48:09 +0000",16404,-1596,568,-1,-3,0,-499,492,6268,0,0,SitOk
"2017-11-13 18:48:09 +0000",16548,-1460,616,-25,37,-19,-302,529,6040,0,0,SitOk
"2017-11-13 18:48:09 +0000",16516,-1400,636,47,30,0,-10,559,5767,0,0,SitOk
"2017-11-13 18:48:10 +0000",16456,-1504,652,-12,54,34,341,517,5456,0,0,SitOk
"2017-11-13 18:48:10 +0000",16540,-1512,736,16,19,31,286,473,5517,0,0,SitOk
"2017-11-13 18:48:10 +0000",16520,-1908,736,45,5,1,186,469,5647,0,0,SitOk
"2017-11-13 18:48:10 +0000",16592,-1396,812,15,22,35,250,474,5685,0,0,SitOk
"2017-11-13 18:48:10 +0000",16684,-1784,624,19,12,22,-32,446,5967,0,0,SitOk
"2017-11-13 18:48:10 +0000",16464,-1620,752,23,24,9,74,453,5928,0,0,SitOk
"2017-11-13 18:48:11 +0000",16488,-1592,708,44,12,11,54,455,6005,0,0,SitOk
"2017-11-13 18:48:11 +0000",16536,-1676,660,36,16,-10,177,476,5937,0,0,SitOk
"2017-11-13 18:48:11 +0000",16612,-1508,880,15,36,13,380,490,5789,0,0,SitOk
"2017-11-13 18:48:11 +0000",16452,-1580,744,39,18,28,449,446,5752,0,0,SitOk
"2017-11-13 18:48:11 +0000",16588,-1560,704,8,19,8,354,460,5894,0,0,SitOk
"2017-11-13 18:48:11 +0000",16584,-1760,936,31,22,24,364,448,5915,0,0,SitOk
"2017-11-13 18:48:12 +0000",16564,-1544,720,46,24,27,323,425,6025,0,0,SitOk
