date,accX,accY,accZ,gyrX,gyrY,gyrZ,phi,theta,psi,p2p,posture,postureLbl
"2017-11-13 17:03:22 +0000",16592,-1320,280,-106,32,33,-11899,15372,-192,0,0,StandOk
"2017-11-13 17:03:22 +0000",16544,-1312,236,-101,47,7,-11739,15330,-548,0,0,StandOk
"2017-11-13 17:03:22 +0000",16860,-1380,-8,-4,114,2,-11294,15313,-1096,0,0,StandOk
"2017-11-13 17:03:22 +0000",16516,-1248,672,4,-19,8,-10630,15275,-1757,0,0,StandOk
"2017-11-13 17:03:23 +0000",16468,-1176,544,88,28,-38,-10383,15306,-1892,0,0,StandOk
"2017-11-13 17:03:23 +0000",16788,-896,452,39,-13,5,-10345,15357,-1814,0,0,StandOk
"2017-11-13 17:03:23 +0000",16620,-1096,468,29,55,-3,-9943,15357,-2155,0,0,StandOk
"2017-11-13 17:03:23 +0000",16640,-1132,684,33,46,-28,-8940,15353,-3104,0,0,StandOk
"2017-11-13 17:03:23 +0000",16600,-888,964,48,41,-17,-8195,15348,-3767,0,0,StandOk
"2017-11-13 17:03:23 +0000",16752,-716,724,41,1,-18,-7577,15384,-4304,0,0,StandOk
"2017-11-13 17:03:24 +0000",16780,-448,800,-11,48,-12,-7037,15417,-4802,0,0,StandOk
"2017-11-13 17:03:24 +0000",16324,-620,1144,-75,44,-5,-6077,15373,-5863,0,0,StandOk
"2017-11-13 17:03:24 +0000",16680,-764,800,-36,-9,31,-6638,15395,-5401,0,0,StandOk
"2017-11-13 17:03:24 +0000",16820,-612,688,-26,13,11,-6943,15424,-5155,0,0,StandOk
"2017-11-13 17:03:24 +0000",16556,-692,664,49,5,44,-7215,15401,-4858,0,0,StandOk
"2017-11-13 17:03:24 +0000",16676,-756,600,44,1,56,-8077,15376,-3894,0,0,StandOk
"2017-11-13 17:03:25 +0000",16620,-832,624,-19,17,36,-8452,15341,-3480,0,0,StandOk
"2017-11-13 17:03:25 +0000",16704,-920,704,-67,34,1,-8529,15330,-3497,0,0,StandOk
"2017-11-13 17:03:25 +0000",16668,-964,604,-71,11,-6,-8222,15343,-3941,0,0,StandOk
"2017-11-13 17:03:25 +0000",16600,-996,708,-29,21,19,-8395,15345,-3856,0,0,StandOk
"2017-11-13 17:03:25 +0000",16632,-964,532,33,14,31,-8762,15334,-3484,0,0,StandOk
"2017-11-13 17:03:25 +0000",16596,-980,604,56,24,24,-8912,15316,-3251,0,0,StandOk
"2017-11-13 17:03:25 +0000",16636,-968,564,55,19,19,-8897,15303,-3163,0,0,StandOk
"2017-11-13 17:03:26 +0000",16612,-932,564,29,20,16,-8934,15304,-3051,0,0,StandOk
"2017-11-13 17:03:26 +0000",16676,-1080,592,24,7,20,-9015,15299,-2923,0,0,StandOk
"2017-11-13 17:03:26 +0000",16672,-1000,796,11,39,8,-8952,15289,-2955,0,0,StandOk
"2017-11-13 17:03:26 +0000",16536,-1096,848,3,23,17,-8661,15264,-3232,0,0,StandOk
"2017-11-13 17:03:26 +0000",16652,-1040,848,4,0,13,-8869,15259,-3015,0,0,StandOk
"2017-11-13 17:03:26 +0000",16572,-1056,640,0,6,5,-8989,15283,-2906,0,0,StandOk
"2017-11-13 17:03:27 +0000",16456,-1244,664,87,-60,23,-9472,15310,-2354,0,0,StandOk
"2017-11-13 17:03:27 +0000",16836,-968,348,140,-55,6,-10710,15382,-889,0,0,StandOk
"2017-11-13 17:03:27 +0000",16780,-764,280,104,26,-27,-10786,15463,-583,0,0,StandOk
"2017-11-13 17:03:27 +0000",16692,-564,436,30,95,-25,-9426,15498,-1825,0,0,StandOk
