date,accX,accY,accZ,gyrX,gyrY,gyrZ,phi,theta,psi,p2p,posture,postureLbl
"2017-11-13 20:13:25 +0000",16600,-1644,972,11,4,9,-3568,482,5536,0,0,SitOk
"2017-11-13 20:13:25 +0000",16592,-1632,548,0,-8,-3,-3550,489,5505,0,0,SitOk
"2017-11-13 20:13:25 +0000",16516,-1612,688,4,8,-6,-3478,497,5437,0,0,SitOk
"2017-11-13 20:13:25 +0000",16544,-1688,628,-1,13,-3,-3313,491,5272,0,0,SitOk
"2017-11-13 20:13:25 +0000",16548,-1772,676,43,2,5,-3056,475,5044,0,0,SitOk
"2017-11-13 20:13:25 +0000",16428,-1816,820,-48,25,-17,-2683,463,4639,0,0,SitOk
"2017-11-13 20:13:26 +0000",16508,-1508,996,34,-1,4,-2576,450,4553,0,0,SitOk
"2017-11-13 20:13:26 +0000",16528,-1696,828,-1,-13,3,-2761,464,4744,0,0,SitOk
"2017-11-13 20:13:26 +0000",16516,-1724,804,5,1,5,-2872,457,4862,0,0,SitOk
"2017-11-13 20:13:26 +0000",16512,-1740,816,4,7,2,-2869,449,4871,0,0,SitOk
"2017-11-13 20:13:26 +0000",16524,-1812,888,1,7,2,-2772,434,4775,0,0,SitOk
"2017-11-13 20:13:26 +0000",16576,-1496,964,7,-26,-3,-2711,434,4736,0,0,SitOk
"2017-11-13 20:13:27 +0000",16552,-1856,624,21,-22,16,-3051,441,5061,0,0,SitOk
"2017-11-13 20:13:27 +0000",16484,-1632,820,-2,-11,-4,-3537,440,5581,0,0,SitOk
"2017-11-13 20:13:27 +0000",16588,-1708,708,33,25,5,-3473,463,5518,0,0,SitOk
"2017-11-13 20:13:27 +0000",16576,-1736,620,-39,-18,-10,-3501,466,5583,0,0,SitOk
"2017-11-13 20:13:27 +0000",16576,-1472,900,50,3,-3,-3603,460,5701,0,0,SitOk
"2017-11-13 20:13:27 +0000",16612,-1728,724,-56,6,-20,-3183,493,5251,0,0,SitOk
"2017-11-13 20:13:28 +0000",16520,-1636,900,4,2,-2,-3164,468,5203,0,0,SitOk
"2017-11-13 20:13:28 +0000",16656,-1580,736,8,8,-16,-2995,499,5035,0,0,SitOk
"2017-11-13 20:13:28 +0000",16480,-1644,740,-11,-3,-3,-2851,506,4892,0,0,SitOk
"2017-11-13 20:13:28 +0000",16492,-1536,756,5,-1,-2,-2881,516,4923,0,0,SitOk
"2017-11-13 20:13:28 +0000",16592,-1572,804,-3,-3,3,-2909,516,4952,0,0,SitOk
"2017-11-13 20:13:28 +0000",16556,-1668,920,0,-10,2,-2981,511,5027,0,0,SitOk
"2017-11-13 20:13:29 +0000",16528,-1620,720,-1,-3,1,-3176,516,5222,0,0,SitOk
"2017-11-13 20:13:29 +0000",16532,-1624,796,0,0,-4,-3123,515,5168,0,0,SitOk
"2017-11-13 20:13:29 +0000",16512,-1572,768,-2,1,-4,-3068,521,5115,0,0,SitOk
"2017-11-13 20:13:29 +0000",16512,-1640,856,4,5,0,-2997,523,5046,0,0,SitOk
"2017-11-13 20:13:29 +0000",16564,-1628,784,-2,-8,-4,-3019,525,5072,0,0,SitOk
"2017-11-13 20:13:29 +0000",16548,-1580,704,-1,-10,-7,-3027,536,5078,0,0,SitOk
"2017-11-13 20:13:30 +0000",16636,-1580,712,-1,-9,-3,-3083,549,5136,0,0,SitOk
"2017-11-13 20:13:30 +0000",16588,-1560,772,3,-1,2,-3130,550,5187,0,0,SitOk
"2017-11-13 20:13:30 +0000",16504,-1632,780,5,13,1,-3051,540,5115,0,0,SitOk
"2017-11-13 20:13:30 +0000",16448,-1688,932,-9,-3,8,-2964,523,5029,0,0,SitOk
"2017-11-13 20:13:30 +0000",16476,-1552,724,3,-2,-6,-3088,529,5157,0,0,SitOk
"2017-11-13 20:13:30 +0000",16672,-1684,480,-8,-29,-15,-3381,560,5433,0,0,SitOk
"2017-11-13 20:13:31 +0000",16608,-1492,496,-1,-6,-11,-3504,591,5564,0,0,SitOk
"2017-11-13 20:13:31 +0000",16628,-1408,724,0,11,-2,-3327,598,5384,0,0,SitOk
"2017-11-13 20:13:31 +0000",16600,-1508,604,6,7,5,-3140,581,5202,0,0,SitOk
"2017-11-13 20:13:31 +0000",16560,-1564,768,1,5,5,-3094,571,5160,0,0,SitOk
"2017-11-13 20:13:31 +0000",16640,-1572,660,2,6,10,-3128,559,5198,0,0,SitOk
"2017-11-13 20:13:31 +0000",16604,-1552,760,9,9,13,-3031,535,5110,0,0,SitOk
"2017-11-13 20:13:32 +0000",16484,-1684,800,11,18,20,-2835,483,4939,0,0,SitOk
"2017-11-13 20:13:32 +0000",16480,-1856,892,2,5,17,-2683,427,4796,0,0,SitOk
"2017-11-13 20:13:32 +0000",16500,-1640,884,15,7,2,-2746,411,4878,0,0,SitOk
"2017-11-13 20:13:32 +0000",16620,-1700,928,-6,2,2,-2708,414,4842,0,0,SitOk
"2017-11-13 20:13:32 +0000",16516,-1932,784,7,-4,14,-2739,393,4880,0,0,SitOk
"2017-11-13 20:13:32 +0000",16596,-1808,912,-1,-9,-2,-2837,385,4988,0,0,SitOk
"2017-11-13 20:13:33 +0000",16484,-1696,900,-6,0,-1,-2847,401,4988,0,0,SitOk
"2017-11-13 20:13:33 +0000",16540,-1836,896,16,-3,3,-2887,390,5041,0,0,SitOk
"2017-11-13 20:13:33 +0000",16484,-1848,892,-4,-11,1,-2939,388,5114,0,0,SitOk
"2017-11-13 20:13:33 +0000",16480,-1828,864,-2,-7,-5,-3074,395,5235,0,0,SitOk
"2017-11-13 20:13:33 +0000",16632,-1744,768,-1,-4,-10,-3132,415,5299,0,0,SitOk
"2017-11-13 20:13:33 +0000",16548,-1784,976,-2,6,-6,-2989,423,5150,0,0,SitOk
"2017-11-13 20:13:34 +0000",16512,-1748,928,-3,-1,-9,-2848,429,5006,0,0,SitOk
