date,accX,accY,accZ,gyrX,gyrY,gyrZ,phi,theta,psi,p2p,posture,postureLbl
"2017-11-13 16:32:27 +0000",16600,1248,1200,-254,68,5,2021,15302,8068,0,0,MovOk
"2017-11-13 16:32:27 +0000",16140,1500,1084,-385,43,-103,2255,15159,7221,0,0,MovOk
"2017-11-13 16:32:27 +0000",16632,1808,920,-518,55,-102,4419,15086,4171,0,0,MovOk
"2017-11-13 16:32:27 +0000",16312,1716,764,-426,147,31,3844,14944,3916,0,0,MovOk
"2017-11-13 16:32:28 +0000",16120,2012,-52,-590,47,72,2821,14909,4137,0,0,MovOk
"2017-11-13 16:32:28 +0000",16140,1784,804,-640,17,119,1324,14973,4544,0,0,MovOk
"2017-11-13 16:32:28 +0000",17912,-604,688,-691,-374,-9,-514,15414,5223,0,0,MovOk
"2017-11-13 16:32:28 +0000",16524,-2092,260,-561,263,11,-1952,15496,5310,0,0,MovOk
"2017-11-13 16:32:28 +0000",15844,-1888,548,-527,202,56,-3457,15092,5860,0,0,MovOk
"2017-11-13 16:32:28 +0000",15772,-2732,484,-107,-49,-55,-4864,14985,6651,0,0,MovOk
"2017-11-13 16:32:29 +0000",22388,456,1456,272,-314,-185,-4607,15427,6556,0,0,MovOk
"2017-11-13 16:32:29 +0000",18128,756,1452,-12,-338,88,-1960,16123,4058,0,0,MovOk
"2017-11-13 16:32:29 +0000",16392,1840,-800,-363,17,48,-16570,16216,18342,0,0,MovOk
"2017-11-13 16:32:29 +0000",14780,1248,32,-625,403,36,-1956,15981,2805,0,0,MovOk
"2017-11-13 16:32:29 +0000",21508,-152,696,-623,43,104,-2769,15581,2506,0,0,MovOk
"2017-11-13 16:32:29 +0000",16724,-2100,2732,-867,142,67,-5756,15333,4262,0,0,MovOk
"2017-11-13 16:32:29 +0000",15224,-1680,1164,-788,175,-134,-4885,14910,2059,0,0,MovOk
"2017-11-13 16:32:30 +0000",15032,-3180,956,-708,113,-113,-5276,14818,934,0,0,MovOk
"2017-11-13 16:32:30 +0000",16992,-2708,1524,-284,12,-207,-5353,14920,122,0,0,MovOk
"2017-11-13 16:32:30 +0000",12708,-504,3328,-89,-283,-271,-2147,15299,-3170,0,0,MovOk
"2017-11-13 16:32:30 +0000",16920,532,1276,0,-27,89,-2503,15523,-2777,0,0,MovOk
"2017-11-13 16:32:30 +0000",16056,1348,748,-375,105,12,-2479,15408,-3143,0,0,MovOk
"2017-11-13 16:32:30 +0000",16392,876,1020,-550,160,123,-2638,15247,-3836,0,0,MovOk
"2017-11-13 16:32:31 +0000",20268,-360,576,-837,-70,238,-5214,15193,-2332,0,0,MovOk
"2017-11-13 16:32:31 +0000",17116,-3168,3020,-739,21,-18,-7839,15191,-1060,0,0,MovOk
"2017-11-13 16:32:31 +0000",15220,-1472,1400,-280,144,-68,-6764,14978,-2938,0,0,MovOk
"2017-11-13 16:32:31 +0000",14876,-1708,2016,-202,71,-47,-6184,14758,-4001,0,0,MovOk
"2017-11-13 16:32:31 +0000",17616,-1820,32,-127,-124,-111,-6878,15049,-3626,0,0,MovOk
"2017-11-13 16:32:31 +0000",17984,740,568,-12,-133,-228,-6209,15438,-4367,0,0,MovOk
"2017-11-13 16:32:32 +0000",18084,896,2076,55,104,33,-3563,15573,-6985,0,0,MovOk
"2017-11-13 16:32:32 +0000",15932,1492,984,-382,169,-186,-281,15474,-10592,0,0,MovOk
"2017-11-13 16:32:32 +0000",15172,1944,1580,-701,76,-193,2751,15126,-14699,0,0,MovOk
"2017-11-13 16:32:32 +0000",18232,-944,2888,-627,3,50,2907,15039,-16079,0,0,MovOk
"2017-11-13 16:32:32 +0000",15176,-2072,2740,-533,-9,75,1508,15163,-15747,0,0,MovOk
"2017-11-13 16:32:32 +0000",16232,-316,1124,-250,-36,128,-839,15262,-13935,0,0,MovOk
"2017-11-13 16:32:33 +0000",16176,-1996,816,271,46,91,-3442,15231,-11393,0,0,MovOk
"2017-11-13 16:32:33 +0000",14772,-1580,1084,496,-118,-134,-3657,15211,-10390,0,0,MovOk
"2017-11-13 16:32:33 +0000",15400,748,1172,596,-253,-188,-363,15788,-12828,0,0,MovOk
"2017-11-13 16:32:33 +0000",17372,2812,120,632,159,-37,7176,15758,-19195,0,0,MovOk
